tag,stream_title,link
E20BL20,Uge 8 Store Dag Lineære afbildninger – del 1,https://video.dtu.dk/media/Uge+8%2C+Store+DagA++Line%C3%A6re+afbildninger+%E2%80%93+del+1/0_piizw0p6/340965
E20BL21,Uge 8 Store Dag Lineære afbildninger – del 2,https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Line%C3%A6re+afbildninger+%E2%80%93+del+2/0_afetjj1m/340965
E20BL22,Uge 8 Lille Dag Afbildningsmatricer og basisskifte,https://video.dtu.dk/media/Uge+8%2C+Lille+DagA+Afbildningsmatricer+og+basisskifte/0_caay85bk/340965
E20BL23,Uge 9 Lineære 1.ordens differentialligninger - del 1,https://video.dtu.dk/media/Uge+9A+Line%C3%A6re+1.ordens+differentialligninger+-+del+1/0_lqyi79zp/340965
E20BL24,Uge 9 Lineære 1.ordens differentialligninger - del 2,https://video.dtu.dk/media/Uge+9A+Line%C3%A6re+1.ordens+differentialligninger+-+del+2/0_ygcu98gf/340965
E20BL25,Uge 10 Egenværdier og Egenvektorer - del 1,https://video.dtu.dk/media/Uge+10A+Egenv%C3%A6rdier+og+Egenvektorer+-+del+1/0_vko1b3hv/340965
E20BL26,Uge 10 Egenværdier og Egenvektorer - del 2,https://video.dtu.dk/media/Uge+10A+Egenv%C3%A6rdier+og+Egenvektorer+-+del+2/0_djnrbzr2/340965
E20BL27,Uge 10 Lille Dag Diagonalisering ved similartransformation,https://video.dtu.dk/media/Uge+10A+Lille+DagA+Diagonalisering+ved+similartransformation/0_n9msz0n8/340965
E20BL28,Uge 11 Symmetriske matricer - del 1,https://video.dtu.dk/media/Uge+11A+Symmetriske+matricer+-+del+1/0_70csw5n6/340965
E20BL29,Uge 11 Symmetriske matricer - del 2,https://video.dtu.dk/media/Uge+11A+Symmetriske+matricer+-+del+2/0_rpa7dvhm/340965
E20BL30,Uge 11 Lille Dag Diagonalisering ved ortogonal substition,https://video.dtu.dk/media/Uge+11%2C+Lille+DagA+Diagonalisering+ved+ortogonal+substition/0_8wmuzrye/340965
E20BL31,Uge 12 Differentialligningssystemer - del 1,https://video.dtu.dk/media/Uge+12A+Differentialligningssystemer+-+del+1/0_8ohkhk2m/340965
E20BL32,Uge 12 Differentialligningssystemer - del 2,https://video.dtu.dk/media/Uge+12A+Differentialligningssystemer+-+del+2/0_7cdacr6p/340965
E20BL33,Uge 13 Store Dag Andenordens differentialligninger - del 1,https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Andenordens+differentialligninger+-+del+1/0_pb6pcizo/340965
E20BL34,Uge 13 Store Dag Andenordens differentialligninger - del 2,https://video.dtu.dk/media/Uge+13%2C+Store+DagA+Andenordens+differentialligninger+-+del+2/0_t8h5bemr/340965
E19BL16,Uge 6 Store dag Determinanter og vektor-geometri part 2,https://video.dtu.dk/media/Uge+6%2C+Store+dagA+Determinanter+og+vektor-geometri+part+2/0_0gplim7p/241155
E19BL18,Mat 1-Uge 7 Hold B Storedag del 1,https://video.dtu.dk/media/Mat+1-Uge+7%2C+Hold+B+Storedag+del+1/0_ruyffj97/241155
E19BL19,Mat 1-Uge 7 Hold B Storedag del 2,https://video.dtu.dk/media/Mat+1-Uge+7%2C+Hold+B%2C+Storedag+del+2/0_sqybf4cz/241155
E19BL20,Uge 8 Store Dag Lineære afbildninger part 1,https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Line%C3%A6re+afbildninger+part+1/0_aatmebhb/241155
E19BL21,Uge 8 Store Dag Lineære afbildninger part 2,https://video.dtu.dk/media/Uge+8%2C+Store+DagA+Line%C3%A6re+afbildninger+part+2/0_nfjwh6hb/241155
E19BL22,Uge 8 Lilledag Lineære afbildninger,https://video.dtu.dk/media/Uge+8+Lilledag+Line%C3%A6re+afbildninger/0_0uqxuse2/241155
E19BL23,Uge 9 Lineære 1.ordens differentialligninger part 1,https://video.dtu.dk/media/Uge+9A+Line%C3%A6re+1.ordens+differentialligninger+part+1/0_727p8wnc/241155
E19BL24,Uge 9 Lineære 1.ordens differentialligninger part 2,https://video.dtu.dk/media/Uge+9A+Line%C3%A6re+1.ordens+differentialligninger+part+2/0_mambx4z6/241155
E19BL25,Uge 10 Skema B Store dag  Egenværdier og Egenvektorer Del 1,https://video.dtu.dk/media/+Uge+10%2C+Skema+B+Store+dag+A+Egenv%C3%A6rdier+og+Egenvektorer+Del+1/0_opw5upkp/241155
E19BL26,Uge 10 Skema B Store dag  Egenværdier og Egenvektorer Del 2,https://video.dtu.dk/media/Uge+10%2C+Skema+B+Store+dag+A+Egenv%C3%A6rdier+og+Egenvektorer+Del+2/0_6dx1qqsg/241155
E19BL27,Uge 11 store dag Symmetriske matricer Part 1,https://video.dtu.dk/media/Uge+11+store+dagA+Symmetriske+matricer+Part+1/0_wqja25a4/241155
E19BL28,Uge 11 store dag Symmetriske matricer Part 2,https://video.dtu.dk/media/Uge+11+store+dagA+Symmetriske+matricer+Part+2/0_x48xuubt/241155
