semester,skema,title,link
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_oh0nlket/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_6tped5vu/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_6cbkwnbm/185147
E15/F16,Skema C,Komplekse tal Del 1,https://video.dtu.dk/media/Komplekse+tal+Del+1/0_qgnjm203/185147
E15/F16,Skema C,Komplekse tal Del 2,https://video.dtu.dk/media/Komplekse+tal+Del+2/0_dplitjp3/185147
E15/F16,Skema C,Lineære ligninger Del 1,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+1/0_0s7b4cf8/185147
E15/F16,Skema C,Lineære ligninger Del 2,https://video.dtu.dk/media/Line%C3%A6re+ligninger+Del+2/0_4rf5a4uz/185147
E15/F16,Skema C,Matrix algebra Del 1,https://video.dtu.dk/media/Matrix+algebra+Del+1/0_0vqeh9j0/185147
E15/F16,Skema C,Matrix algebra Del 2,https://video.dtu.dk/media/Matrix+algebra+Del+2/0_v4co7ezy/185147
E15/F16,Skema C,Kvadratiske matricer Del 1,https://video.dtu.dk/media/Kvadratiske+matricer++Del+1/0_lm6yuiqh/185147
E15/F16,Skema C,Kvadratiske matricer Del 2,https://video.dtu.dk/media/Kvadratiske+matricer++Del+2/0_coesxeya/185147
E15/F16,Skema C,Geom. vektorer Del 1,https://video.dtu.dk/media/Geom.+vektorer+Del+1/0_nbnsxy8t/185147
E15/F16,Skema C,Geom. vektorer Del 2,https://video.dtu.dk/media/Geom.+vektorer+Del+2/0_nb2rjkns/185147
E15/F16,Skema C,Vektorrum Del 1,https://video.dtu.dk/media/Vektorrum+Del+1/0_2xdw4ikl/185147
E15/F16,Skema C,Vektorrum Del 2,https://video.dtu.dk/media/Vektorrum+Del+2/0_v3lx2fkr/185147
E15/F16,Skema C,Lineær afbildning Del 1,https://video.dtu.dk/media/Line%C3%A6r+afbildning+Del+1/0_z9va8zox/185147
E15/F16,Skema C,Lineær afbildning Del 2,https://video.dtu.dk/media/Line%C3%A6r+afbildning+Del+2/0_rrkmnl0j/185147
E15/F16,Skema C,Basisskifte Del 1,https://video.dtu.dk/media/Basisskifte+Del+1/0_zxt50648/185147
E15/F16,Skema C,Basisskifte Del 2,https://video.dtu.dk/media/Basisskifte+Del+2/0_e9ua0u4j/185147
E15/F16,Skema C,Funktionsrum Del 1,https://video.dtu.dk/media/Funktionsrum+Del+1/0_im0bpsog/185147
E15/F16,Skema C,Funktionsrum Del 2,https://video.dtu.dk/media/Funktionsrum+Del+2/0_b5dern3q/185147
E15/F16,Skema C,Egenværdier Del 1,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+1/0_0hdono5z/185147
E15/F16,Skema C,Egenværdier Del 2,https://video.dtu.dk/media/Egenv%C3%A6rdier+Del+2/0_p4zf87xh/185147
E15/F16,Skema C,Diagonalisering Del 1,https://video.dtu.dk/media/Diagonalisering+Del+1/0_veuii4j5/185147
E15/F16,Skema C,Diagonalisering Del 2,https://video.dtu.dk/media/Diagonalisering+Del+2/0_rvqa3bch/185147
E15/F16,Skema C,1. ord. diff-ligninger Del 1,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+1/0_dur65k1x/185147
E15/F16,Skema C,1. ord. diff-ligninger Del 2,https://video.dtu.dk/media/1.+ord.+diff-ligninger+Del+2/0_ybucoqf3/185147
E15/F16,Skema C,2. ord. diff-ligninger Del 1,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+1/0_ncqq14v7/185147
E15/F16,Skema C,2. ord. diff-ligninger Del 2,https://video.dtu.dk/media/2.+ord.+diff-ligninger+Del+2/0_eerrq20q/185147
E15/F16,Skema C,System af diff-ligninger Del 1,https://video.dtu.dk/media/System+af+diff-ligninger+Del+1/0_ix6z799t/185147
E15/F16,Skema C,System af diff-ligninger Del 2,https://video.dtu.dk/media/System+af+diff-ligninger+Del+2/0_g4zkrfg4/185147
E15/F16,Skema C,Repetition Del 1,https://video.dtu.dk/media/Repetition+Del+1/0_55apztup/185147
E15/F16,Skema C,Repetition Del 2,https://video.dtu.dk/media/Repetition+Del+2/0_xypjaq7v/185147
E15/F16,Skema C,Taylor 1 variable Del 1,https://video.dtu.dk/media/Taylor+1+variable+Del+1/0_3195wtuh/185147
